"subgroup_id","subgroup_name","subgroup_description"
38,"介面設計","線上介面設計課程，學習設計頁面上的功能，並參考使用者體驗來安排頁面的內容規劃，同時顧及介面設計的便利性與美感，並不斷優化介面的使用者體驗。"
39,"網頁設計","線上網頁設計課程，學習 Sketch、Adobe、Wix 等設計軟體，精通 HTML、CSS、Javascript 等語法，自己製作出精緻的響應式網頁。"
40,"商業攝影","商業攝影類型線上課程，無論是人像攝影、美食攝影，還是影像編修領域，課程將教你攝影技巧、打光技術、美感養成等必備技能，讓你朝專業商業攝影師前進。"
41,"網站架設","線上網站架設課程，運用 WordPress 等架站軟體來架設網站，學習前端程式語法來製作網頁，輕鬆創作個人作品集或電商網站。"
42,"更多程式","線上程式類課程，包含程式入門、程式思維、網站架設、手機程式開發、網頁前後端、資訊安全、遊戲開發、科學運算、資料科學、程式理財、區塊鏈等必備程式設計技能。"
43,"程式思維","線上程式思維課程，培養運算思維與思考邏輯，學習必備領域知識，如：計算機概論、物件導向、Design Pattern、Algorithms & Data Structure 等，讓程式設計更精確、更有效率。"
44,"手機程式開發","線上手機程式開發課程，學習 Android App 開發與 iOS App 開發必備系統或程式語言，如：App Inventor、Kotlin、Swift 等，開發個人或商用手機程式。"
45,"韓文","線上自學韓文其實不難，從拼音文字開始，學習韓文發音。無論你是想為了追韓劇或追韓星，都能透過線上課程學習韓文生活用語和語法結構，和歐巴來場韓語對話不再是問題！"
46,"更多手作","線上手作課程，學習親手 DIY 客製化獨一無二的質感手工小物，嘗試刺繡、雕花、手工書、篆刻、手工印刷等實作課程，用手作小物的溫暖打動重要的他的心。"
47,"更多語言","線上語言課程，生活和職場必備的第二外語能力。我們提供多元的語言課程－英文、日文、韓文、西班牙文等，無論你是想通過語言檢定、工作需求，或來場自助旅行，從發音和單字開始練習，朝流暢對話邁進。"
48,"歐洲語言","線上歐洲語言課程，學習多種歐洲語言：西班牙文、德文、俄文等語系，培養你的第二外語專長。"
49,"人聲","人聲是通過人類呼吸器官振動產生的聲音，從發聲練習開始，訓練你的歌唱技巧，用好歌聲打動人心。或學習 Beatbox 節奏口技，從基本三音開始，迅速掌握音樂節奏。"
50,"個人品牌經營","線上個人品牌經營課程，學習個人品牌建立與經營的思考模式。透過個人品牌的建立與經營，讓更多人認識、接受與信任你。善用品牌經營的專業知識來宣傳、行銷自己，經營個人品牌，活出自己想要的樣貌。"
51,"更多職場技能","線上職場技能課程，學習資料彙整、跨部門溝通、文書處理軟體等必備職場力，善用批判思考、時間管理、溝通談判等心法，無論你是上班族、求職者或學生，都需要強化的職場競爭力。"
52,"網頁後端","線上網頁後端課程，學習 Node.js、JavaScript、PHP、MySQL、Laravel、Ralie 等程式語言，習得網頁相關的管理技術、網站運算效能，以及資料庫創建等技能。"
53,"後製剪輯","後製剪輯類型線上課程，學習設計腳本框架和影像編排技巧，掌握 Premiere、After Effect、PhotoShop 等後製剪輯軟體，提升影像創作品質。"
54,"產品設計","線上產品設計課程，學習產品開發過程的佈局與細節。從產品的結構、規格、功能規劃開始，理解產品開發與生產的各個環節，掌握產品設計與開發的策略，打造實用性與美感兼具的產品。"
55,"靈性發展","線上靈性課程，學習命理、塔羅、占星等靈性層面的自我內觀與療癒"
56,"影視創作","線上影視創作課程，學習當代影視創作與影視營銷內容策劃。理解影視發產歷程與策略規劃進程，對影視語言與畫面有一定程度的掌握，學習劇本創作、節目製作、宣傳策略等，開始你的影視創作路。"
57,"資料科學","線上資料科學課程，學習 Python、Excel VBA、R 語言等工具，透過資料處理與計算、資料分析等方式找出有用的資訊，並可延伸應用於 AI 人工智慧、機器學習、資料探勘、網頁爬蟲等領域。"
58,"軟體程式開發與維護","線上軟體程式開發與維護課程，為開發與營運團隊之間溝通合作的文化，包含開發、測試與維運等階段，常用工具包括 Jenkins、Terraform、Packer、Ansible、Chef、Puppet。能有效率的提升團隊交付應用程式與服務的能力與速度，並快速開發和改善產品。"
59,"職場溝通","線上職場溝通課程，學習職場談判與溝通、職場衝突處理、簡報表達能力、台風說話技巧等職場必備能力，透過清楚且具邏輯脈絡的表達技巧，培養人際關係，提升職場競爭力。"
60,"表演藝術","線上表演藝術課程，帶你探索劇場表演、舞蹈表演、藝術賞析等等不同的表演藝術層面"
61,"創業","線上創業課程，學習企劃書撰寫、品牌經營、網頁架設、電商創業等職場技能，透過網路或實體等形式，將興趣變副業，創立自己的第一份企業。"
62,"文學","線上文學課程，學習以語言文字為工具的文學與文化知識，透過戲劇編劇、小說敘事、散文等形式，表現內心情感並再現特定時期、地域的文化現象與社會生活，為內容產業必備的知識技能。"
63,"區塊鏈","線上區塊鏈課程，學習數位貨幣與區塊鏈技術與發展原理，延伸應用於比特幣、加密貨幣等虛擬貨幣的行動支付，並學習運用 Solidity 程式語言，撰寫區塊鏈智能合約 。"
64,"金融商品","線上金融商品課程，從暸解金融商品交易、稅務和風險管理開始，學習由匯率、股價、指數等衍生性金融商品組合的交易理論與實務，例如：保險、信託、儲蓄、基金、信用卡、期貨、證券等。"
65,"文案","線上文案課程，學習廣告行銷、故事行銷、品牌行銷等必備文案創意力，透過文案撰寫打動人心，掌握內容行銷所需的核心文案力，成功吸引消費者注意力。"
66,"數位行銷","線上數位行銷課程，善用行銷資源與數位分析工具，學習廣告投放與策略分析、社群行銷文案轉寫，幫助你提升電商平台和品牌的知名度，並帶來更多流量與轉換。"
67,"設計理論","線上設計理論課程，學習應用科學的思想和方法，結合設計原理和設計的意識形態，梳理出設計脈絡，創造出性能先進且符合設計結構與邏輯的作品。"
68,"AI人工智慧","線上 AI 人工智慧課程，學習建構專家系統、自然語言處理、機器學習、計算機視覺等等，讓機器能夠學習、推理、規劃、感知和交流，打造更便利且安全的生活。"
69,"投資觀念","線上投資觀念課程，從暸解理財和投資市場開始，學習總體經濟運行 、投資趨勢，以及存股投資資訊，掌握投資工具與數據分析工具，打造被動收入且達到真正的財富自由。"
70,"理財","線上理財課程，從暸解自己的財務狀況開始，建立適合個人財財務規劃的工具與行為，學習 ETF 資產配置或 Python程式語言來分析金融資料與投資，小資產也能擁有穩定的獲利。"
71,"社會科學","線上社會科學課程，學習批判思考、法律常識、邏輯推理，運用科學方法來研究社會現象，面對複雜的社會、經濟、政治等議題，也能善用科學方法導出思維邏輯。"
72,"社群行銷","線上社群行銷課程，學習社群經營和網路行銷策略，打造專屬的社群行銷策略。學習如何追蹤社群行銷成效，透過優化社群策略來新增粉絲與提高轉換率。"
73,"影像創作","影像創作即是透過影像來說故事。學習 Premiere、Final Cut 等軟體，以動態畫面為傳遞訊息的媒介；學習攝影調色、構圖、打光等技能，賦予影像作品更多情感，激發你對影像創作更多的想像。"
74,"遊戲開發","線上遊戲開發課程，遊戲開發者必學的遊戲開發軟體和遊戲開發引擎，如 Unity3D、C 語言，掌握遊戲的開發流程。"
75,"程式理財","線上程式理財課程，學習 Python、MT4 交易程式、Excel 程式量化、AI 人工智慧等程式語言或工具，協助理財知識與投資撂話的計算與規劃。"
76,"量化交易","線上量化交易課程，借助統計學和數學原理，利用程式來進行交易的投資方式。透過程式語言幾交易流程系統化，進行回測驗證與評估，讓程式依照所設定的規則與策略來進行交易。"
77,"更多設計","線上設計課程，學習平面和動態設計工具，如：Photoshop、Illustrator、AE、Sketch 等，應用於字體設計、網頁設計、介面設計等領域，掌握設計接案學、設計營運方針，成為案子接不完的熱門設計師。"
78,"獨立接案","線上獨立接案課程，學習專業技能之外，成為自由工作者的眉眉角角。讓不想依靠組織的你，能在接案工作的路上更加順遂。"
79,"寵物","線上寵物課程，學習寵物鮮食製作、毛孩照護等知識，才能好好照顧、陪伴家中的毛小孩。"
80,"資訊安全","線上資訊安全課程，培養適當的資訊安全系統管理觀念，學習網站安全基本知識與安全政策、駭客思維、授權管理與認證管理、SQL Injection、CSRF、XSS 等資安知識。"
81,"量化分析","線上量化分析課程，從暸解如何採用統計、數學等量化研究方法來進行社會科學系統性的查驗，學習常用的量化分析工具，如：SPSS、Python、Excel、MATLAB 等，有系統的整理與過濾出正確的資料庫。"
82,"數學","線上數學課程，數學能培養生活中邏輯思考與解決問題的能力，透過與生活經驗結合的數學範例，讓你不是數學家或數學系，也能運用數學公式解決生活裡遇見的問題。"
83,"效率提升","線上效率提升課程，學習雲端工具、時間管理、商務應用等方法，有效提高職場的工作產能與執行效率，增強工作效率並達成績效目標。"
84,"居家",
85,"更多人文","線上人文課程，學習批判思考力來觀察、分析人類歷史經驗與社會價值，透過理性的思維，從文學或社會科學的角度切入，探討道德、人類情感、價值觀等議題。"
86,"攝影理論","線上攝影理論課程，有系統地教你學習攝影，理解攝影作品背後依循的理論與原則。從攝影史、當代攝影、紀實攝影等面向，透過攝影作品賞析，讓你更能感受每幅畫面所傳達的意象。"
87,"數據分析","不用學習寫程式，不用爬梳複雜的資料庫，也能獲得把眾多數據轉化為決策的關鍵能力，突破銷售瓶頸，再創業績佳績"
88,"翻譯","線上翻譯課程，學習語言能力之外的翻譯技巧，成為各行各業中跨語言的熱門人才。"
89,"模型","線上模型製作課程。教你一步步從骨架、塑形、上色等，完成自己的手做模型創作"
90,"更多攝影","線上攝影課程，從影像創作、攝影打光開始學習，掌握 Premiere、PhotoShop 等影像剪輯、後製軟體能力，用影像創作說出自己的故事。"
91,"更多行銷","線上行銷課程，學習內容行銷、數位行銷等相關知識，掌握廣告投放、網站架設、文案創意等必備技能，管理電商、擬定品牌策略不再是難事。"
